propinsi,Bumn,Kemkes,Organisasi Budha,Organisasi Hindu,Organisasi Islam,Organisasi Katholik,Organisasi Protestan,Organisasi Sosial,Pemerintah,Pemkab,Pemkot,Pemprop,Perorangan,Perusahaan,Swasta,Total
Jawa Timur,2.0,2.0,0.0,0.0,21.0,2.0,4.0,23.0,30.0,62.0,10.0,14.0,7.0,43.0,212.0,242.0
Jawa Barat,3.0,5.0,0.0,0.0,6.0,3.0,2.0,35.0,19.0,44.0,19.0,6.0,5.0,118.0,156.0,175.0
Jawa Tengah,1.0,5.0,0.0,0.0,58.0,6.0,4.0,51.0,17.0,54.0,9.0,7.0,7.0,51.0,84.0,101.0
Dki Jakarta,4.0,10.0,1.0,0.0,4.0,3.0,2.0,28.0,17.0,0.0,0.0,30.0,2.0,27.0,59.0,76.0
Banten,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,8.0,7.0,2.0,1.0,38.0,61.0,65.0
Sumatera Utara,7.0,1.0,0.0,0.0,0.0,4.0,2.0,39.0,11.0,33.0,8.0,5.0,6.0,52.0,34.0,45.0
Sulawesi Selatan,1.0,4.0,0.0,0.0,3.0,1.0,0.0,13.0,10.0,36.0,5.0,8.0,8.0,9.0,25.0,35.0
Bali,0.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,14.0,1.0,3.0,2.0,13.0,30.0,34.0
Riau,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,15.0,2.0,3.0,3.0,24.0,24.0,29.0
Aceh,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,22.0,4.0,3.0,2.0,7.0,19.0,28.0
Kalimantan Timur,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,14.0,4.0,5.0,0.0,8.0,18.0,22.0
Lampung,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,2.0,13.0,3.0,3.0,3.0,23.0,19.0,21.0
Yogyakarta,1.0,1.0,0.0,0.0,7.0,2.0,1.0,22.0,4.0,8.0,2.0,2.0,1.0,11.0,17.0,21.0
Sumatera Barat,0.0,2.0,0.0,0.0,8.0,1.0,0.0,5.0,6.0,18.0,7.0,5.0,6.0,6.0,14.0,20.0
Kalimantan Selatan,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,14.0,2.0,4.0,3.0,4.0,15.0,19.0
Sumatera Selatan,3.0,2.0,0.0,0.0,1.0,2.0,0.0,8.0,4.0,25.0,6.0,4.0,4.0,17.0,11.0,15.0
Jambi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,3.0,2.0,2.0,6.0,12.0,14.0
Kalimantan Barat,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,6.0,22.0,3.0,2.0,0.0,13.0,6.0,12.0
Nusa Tenggara Barat,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,14.0,2.0,5.0,1.0,8.0,8.0,11.0
Sulawesi Utara,0.0,2.0,0.0,0.0,0.0,5.0,6.0,3.0,5.0,15.0,5.0,6.0,1.0,5.0,5.0,10.0
Nusa Tenggara Timur,0.0,1.0,0.0,0.0,0.0,7.0,0.0,11.0,5.0,28.0,1.0,2.0,1.0,2.0,4.0,9.0
